The Million Dollar Mystery|1914|Howell Hansel
The Birth of a Nation|1915|Yet So Far Near
A Romance of the Redwoods|1917|Cecil B. DeMille
Mickey|2004|Hugh Wilson
Pollyanna|1920|Paul Powell
Shipwrecked Among Cannibals|1920|William F. Adler
Suds|1920|Smile Brother
Every Woman's Problem|1921|Willis Robards
The Kid|2000|Patience More
Little Lord Fauntleroy|1921|Jack Pickford
The Love Light|1921|Frances Marion
The Three Musketeers|1993|Masakazu Higuchi
More to Be Pitied Than Scorned|1922|Edward LeSaint
Oliver Twist|1922|Financier Lowe
Robin Hood|1973|Wolfgang Reitherman
The Freshman|1990|Andrew Bergman
His People|1925|Edward Sloman
The Unholy Three|1925|the Will O' the Wisp Peggy
Ben-Hur: A Tale of the Christ|1925|Charles Brabin
Flesh and the Devil|1926|the Man Edison
Sparrows|1926|Sadie Me
My Best Girl|1927|Sam Taylor
Sunrise: A Song of Two Humans|1927|genannt die Schmuggler-Madonna Marizza
Across to Singapore|1928|William Nigh
Lights of New York|1928|Valley of the Nude Elysia
The Road to Ruin|1928|Norton S. Parker
West of Zanzibar|1928|the Will O' the Wisp Peggy
A Woman of Affairs|1928|Clarence Brown
Coquette|1929|Sam Taylor
The Kiss|1988|Pen Densham
The Mysterious Island|1929|Lucien Hubbard
Paris|1929|Nanette No
Paris|2008|ni contre pour
Welcome Danger|1929|Clyde Bruckman
Wild Orchids|1929|Sidney Franklin
Feet First|1930|Clyde Bruckman
The Indians Are Coming|1930|Westbound 10
Raffles|1930|Harry d'Abbadie d'Arrast
Romance|1930|the Man Edison
Tom Sawyer|1930|John Cromwell
City Lights|2006|Stephen III
Frankenstein|1931|James Whale
Frankenstein|1994|Kenneth Branagh
Inspiration|1931|the Man Edison
Kiki|1931|Sam Taylor
As You Desire Me|1932|George Fitzmaurice
The Beast of the City|1932|White and Blue Blood Red
Ekstase|1933|Gustav 
Grand Hotel|1932|Edmund Goulding
Mata Hari|1931|George Fitzmaurice
Movie Crazy|1932|Clyde Bruckman
The Saddle Buster|1932|Fred Allen
Shanghai Express|1932|Claudius I
I'm No Angel|1933|Wesley Ruggles
King Kong|1933|Merian C. Cooper
King Kong|1976|John Guillermin
Queen Christina|1933|Rouben Mamoulian
She Done Him Wrong|1933|Lowell Sherman
The Black Cat|1934|Edgar G. Ulmer
Let's Try Again|1934|and Glove Coat
The Painted Veil|2006|John Curran
Anna Karenina|1997|Bernard Rose
No More Ladies|1935|George Cukor
Top Hat|1935|Who's Zoo in Africa or
The Gorgeous Hussy|1936|the Man Edison
Three Smart Girls|1936|Miss Dove Morning
Annapolis Salute|1937|Christy Cabanne
Camille|1936|George Cukor
Camille|2007|Gregory Mackenzie
Conquest|1937|Gustav 
Damaged Lives|1933|Edgar G. Ulmer
Green Fields|1937|Jacob Ben-Ami
One Hundred Men and a Girl|1937|Miss Dove Morning
Parnell|1937|You Beautiful Doll Oh
Snow White and the Seven Dwarfs|1937|David Hand
Bringing Up Baby|1938|Howard Hawks
Party Fever|1938|George Sidney
Professor Beware|1938|Elliott Nugent
Clown Princes|1939|George Sidney
Dad for a Day|1939|Miss Pipps Back
Dog Daze|1939|George Sidney
Gone with the Wind|1939|George Cukor
Ninotchka|1939|die Filmschauspielerin Frau
The Story of Vernon and Irene Castle|1939|H.C. Potter
Time Out for Lessons|1939|Bud Murray
The Wizard of Oz|1939|Victor Fleming
Fantasia|1940|James Algar
Goin' Fishin'|1940|Miss Pipps Back
Good Bad Boys|1940|Miss Pipps Back
Kiddie Kure|1940|Miss Pipps Back
Pinocchio|1940|U.S.A. Disneyland
Pinocchio|2002|Roberto Benigni
Susan and God|1940|George Cukor
The Bashful Bachelor|1942|Jr. Washington
Buck Privates|1941|Arthur Lubin
Citizen Kane|1941|Orson Welles
Fightin' Fools|1941|Miss Pipps Back
Helping Hands|1941|Miss Pipps Back
It Started with Eve|1941|Miss Dove Morning
Two-Faced Woman|1941|George Cukor
Arabian Nights|1942|John Rawlins
Bambi|1942|David Hand
Cat People|1942|Jacques Tourneur
Cat People|1982|Paul Schrader
China Girl|1987|Abel Ferrara
Doin' Their Bit|1942|Jr. Franklin
Don't Lie|1942|Miss Pipps Back
Going to Press|1942|Miss Pipps Back
Hitler's Children|1943|Edward Dmytryk
Prisoner of Japan|1942|Edgar G. Ulmer
Rover's Big Chance|1942|Jr. Franklin
To the Shores of Tripoli|1942|H. Bruce Humberstone
Cabin in the Sky|1943|Vincente Minnelli
A Guy Named Joe|1943|Victor Fleming
Jitterbugs|1943|Jr. Washington
Little Miss Pinkerton|1943|Jr. Franklin
Victory Through Air Power|1943|Perce Pearce
Dancing Romeo|1944|Cy Endfield
Radio Bugs|1944|Cy Endfield
Adventure|1945|Victor Fleming
The Clock|1945|Vincente Minnelli
The Bandit of Sherwood Forest|1946|Henry Levin
Humoresque|1946|Jean Negulesco
Notorious|2009|George Jr.
Song of the South|1946|Harve Foster
Till the Clouds Roll By|1946|Vincente Minnelli
Brighton Rock|1947|John Boulting
Crossfire|1947|Edward Dmytryk
Killer McCoy|1947|Roy Rowland
Mourning Becomes Electra|1947|Dudley Nichols
The Shocking Miss Pilgrim|1947|Irene and Mary Sally
Arch of Triumph|1948|Lewis Milestone
Easter Parade|1948|Charles Walters
It Always Rains on Sunday|1947|Robert Hamer
Ladri di biciclette|1948|domani oggi
The Pirate|1948|Vincente Minnelli
That Lady in Ermine|1948|die Filmschauspielerin Frau
The Beautiful Blonde from Bashful Bend|1949|Preston Sturges
In the Good Old Summertime|1949|Robert Z. Leonard
Annie Get Your Gun|1950|George Sidney
Born Yesterday|1950|George Cukor
Born Yesterday|1993|Luis Mandoki
Cinderella|1950|Clyde Geronimi
The Damned Don't Cry|1950|Vincent Sherman
Destination Moon|1950|Irving Pichel
Wabash Avenue|1950|Miss Dove Morning
An American in Paris|1951|Vincente Minnelli
Meet Me After the Show|1951|Richard Sale
The Bad and the Beautiful|1952|Vincente Minnelli
Hans Christian Andersen|1952|Charles Vidor
High Noon|1952|Fred Zinnemann
This Is Cinerama|1952|Merian C. Cooper
Appointment in Honduras|1953|Jacques Tourneur
Escape from Fort Bravo|1953|John Sturges
From Here to Eternity|1953|Fred Zinnemann
Peter Pan|1953|Clyde Geronimi
Peter Pan|2003|P.J. Hogan
The Robe|1953|Miss Dove Morning
Robot Monster|1953|Phil Tucker
Beachhead|1954|Stuart Heisler
Betrayed|1954|Gottfried Reinhardt
Casanova's Big Night|1954|Norman Z. McLeod
