Title|Budget|Gross|Year
Traffic in Souls|5700|430000|1913
The Battle of the Sexes|25000|480000|1914
The Call of the North|16541|52284|1914
Dough and Dynamite|-1|130000|1914
The Man from Home|14222|62091|1914
The Million Dollar Mystery|125000|1500000|1914
Rose of the Rancho|16988|87028|1914
The Squaw Man|20000|244700|1914
What's His Name|12234|61560|1914
The Arab|18328|68527|1915
The Birth of a Nation|110000|3000000|1915
The Captive|12154|56075|1915
The Cheat|17311|137365|1915
Chimmie Fadden|10504|78944|1915
Chimmie Fadden Out West|16070|72036|1915
The Girl of the Golden West|15110|102224|1915
The Golden Chance|18711|83504|1915
Kindling|10040|66036|1915
Temptation|22472|102437|1915
The Unafraid|14227|63944|1915
The Warrens of Virginia|28360|85770|1915
The Wild Goose Chase|10612|60631|1915
The Dream Girl|13523|66725|1916
The Heart of Nora Flynn|21999|87738|1916
Maria Rosa|18575|102768|1916
The Trail of the Lonesome Pine|22249|77944|1916
The Devil-Stone|67413|296032|1917
Joan the Woman|302976|605731|1916
The Little American|166949|446237|1917
A Romance of the Redwoods|134832|424719|1917
The Woman God Forgot|115420|340505|1917
Mickey|125000|18000000|1918
Old Wives for New|66241|286504|1918
Tarzan of the Apes|-1|1000000|1918
The Whispering Chorus|72500|242109|1918
The Miracle Man|120000|3000000|1919
Over the Hill to the Poorhouse|100000|3000000|1920
Pollyanna|300000|1160962|1920
Shipwrecked Among Cannibals|-1|1000000|1920
Suds|-1|772155|1920
Way Down East|700000|4500000|1920
Every Woman's Problem|10000|40000|1921
The Kid|250000|2500000|1921
Little Lord Fauntleroy|-1|900000|1921
The Love Light|-1|690965|1921
The Three Musketeers|-1|1500000|1921
More to Be Pitied Than Scorned|20000|130000|1922
Oliver Twist|175000|2000000|1922
Robin Hood|1500000|2500000|1922
Tess of the Storm Country|400000|927953|1922
The Covered Wagon|782000|3800000|1923
The Shock|90220|257327|1923
The Big Parade|245000|5000000|1925
The Freshman|-1|1392|1925
His People|93000|3000000|1925
Little Annie Rooney|-1|1100000|1925
The Midshipman|175000|630000|1925
The Unholy Three|103000|704000|1925
Aloma of the South Seas|-1|3000000|1926
Ben-Hur: A Tale of the Christ|3900000|4359000|1925
Flesh and the Devil|373000|603000|1926
Metropolis|-1|28779|1927
Sparrows|463455|966878|1926
The Temptress|669000|587000|1926
Torrent|250000|460000|1926
What Price Glory|360000|700000|1926
Blake of Scotland Yard|125000|3500000|1927
The Jazz Singer|422000|3000000|1927
Jesse James|-1|1200000|1927
Lovers?|347000|451000|1927
My Best Girl|483103|1027757|1927
The Road to Romance|280000|482000|1927
Sunrise: A Song of Two Humans|-1|5801|1927
Across to Singapore|290000|596000|1928
Die Büchse der Pandora|-1|9950|1929
The Divine Woman|267000|541000|1928
Lights of New York|75000|1200000|1928
The Mysterious Lady|337000|543000|1928
The Road to Ruin|2500|2500000|1928
Sadie Thompson|-1|1000000|1928
West of Zanzibar|259000|921000|1928
A Woman of Affairs|383000|850000|1928
The Broadway Melody|379000|2808000|1929
Bulldog Drummond|550000|1600000|1929
Coquette|489106|1400000|1929
The Desert Song|354000|3001000|1929
The Kiss|257000|518000|1929
The Mysterious Island|1130000|55000|1929
Paris|431000|619000|1929
The Single Standard|336000|659000|1929
The Taming of the Shrew|504000|1100000|1929
Welcome Danger|979828|3100000|1929
Wild Orchids|322000|622000|1929
Anna Christie|376000|1013000|1930
Der blaue Engel|-1|77982|1930
Feet First|647000|1589000|1930
The Indians Are Coming|160000|1000000|1930
Madam Satan|980000|500000|1930
Raffles|-1|1000000|1930
Romance|496000|733000|1930
Tom Sawyer|-1|11000000|1930
L'âge d'or|-1|32712|1930
Around the World in 80 Minutes with Douglas Fairbanks|80000|200000|1931
City Lights|1500000|19181|1931
Frankenstein|291000|12000000|1931
Inspiration|438000|725000|1931
Kiki|810568|426513|1931
Susan Lenox <Her Fall and Rise>|572638|806000|1931
As You Desire Me|460733|705000|1932
The Beast of the City|230000|408000|1932
Ekstase|-1|3000000|1933
