Title|Budget|Gross|Year
Titanic|200000000|600779824|1997
The Dark Knight|185000000|533316061|2008
Star Wars|13000000|460935665|1977
Shrek 2|150000000|436471036|2004
Star Wars: Episode I - The Phantom Menace|115000000|431065444|1999
Pirates of the Caribbean: Dead Man's Chest|225000000|423032628|2006
Spider-Man|139000000|403706375|2002
Transformers: Revenge of the Fallen|200000000|402076689|2009
Star Wars: Episode III - Revenge of the Sith|113000000|380262555|2005
The Lord of the Rings: The Return of the King|94000000|377027325|2003
Spider-Man 2|200000000|373585825|2004
The Passion of the Christ|30000000|370614210|2004
Jurassic Park|63000000|350523625|1993
The Lord of the Rings: The Two Towers|94000000|340478898|2002
Finding Nemo|94000000|339714978|2003
Spider-Man 3|258000000|336530303|2007
Forrest Gump|55000000|329691196|1994
Shrek the Third|160000000|320706665|2007
Transformers|150000000|319014499|2007
Iron Man|140000000|318298180|2008
Harry Potter and the Sorcerer's Stone|125000000|317557891|2001
Indiana Jones and the Kingdom of the Crystal Skull|185000000|317011114|2008
The Lord of the Rings: The Fellowship of the Ring|93000000|314776114|2001
Star Wars: Episode II - Attack of the Clones|115000000|310675583|2002
Pirates of the Caribbean: At World's End|300000000|309404152|2007
Star Wars: Episode VI - Return of the Jedi|32500000|309125409|1983
Independence Day|75000000|306169255|1996
Pirates of the Caribbean: The Curse of the Black Pearl|140000000|305388685|2003
Harry Potter and the Half-Blood Prince|250000000|301707444|2009
The Sixth Sense|55000000|293501675|1999
Up|175000000|292913068|2009
Harry Potter and the Order of the Phoenix|150000000|292000866|2007
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|180000000|291709845|2005
Harry Potter and the Goblet of Fire|150000000|289994397|2005
Home Alone|15000000|285761243|1990
The Matrix Reloaded|150000000|281492479|2003
Meet the Fockers|80000000|279167575|2004
The Hangover|35000000|276942541|2009
Shrek|60000000|267652016|2001
Harry Potter and the Chamber of Secrets|100000000|261970615|2002
The Incredibles|92000000|261441092|2004
How the Grinch Stole Christmas|123000000|260031035|2000
Star Trek|150000000|257704099|2009
I Am Legend|150000000|256386216|2007
Monsters, Inc.|115000000|255870172|2001
Batman|35000000|251185407|1989
Night at the Museum|110000000|250863268|2006
Men in Black|90000000|250147615|1997
Harry Potter and the Prisoner of Azkaban|130000000|249358727|2004
Toy Story 2|90000000|245823397|1999
Cars|120000000|244052771|2006
Bruce Almighty|81000000|242589580|2003
Twister|92000000|241688385|1996
My Big Fat Greek Wedding|5000000|241438208|2002
Ghost Busters|30000000|238632124|1984
X-Men: The Last Stand|210000000|234360014|2006
War of the Worlds|132000000|234280354|2005
Cast Away|90000000|233630478|2000
Raiders of the Lost Ark|18000000|230329080|1981
Beverly Hills Cop|14000000|229909722|1984
The Lost World: Jurassic Park|73000000|229074524|1997
Signs|72000000|227965690|2002
Hancock|150000000|227946274|2008
The Bourne Ultimatum|110000000|227137090|2007
Rush Hour 2|90000000|226138454|2001
WALL·E|180000000|223808164|2008
National Treasure: Book of Secrets|130000000|219961501|2007
Mrs. Doubtfire|-1|219200000|1993
King Kong|207000000|218080025|2005
Ghost|22000000|217631306|1990
The Da Vinci Code|125000000|217536138|2006
Aladdin|28000000|217350219|1992
Alvin and the Chipmunks|70000000|217326336|2007
Saving Private Ryan|70000000|216119491|1998
Mission: Impossible II|125000000|215397307|2000
Kung Fu Panda|130000000|215395021|2008
X2|110000000|214948780|2003
Austin Powers in Goldmember|63000000|213079163|2002
300|65000000|210592590|2006
Wedding Crashers|40000000|209218368|2005
Charlie and the Chocolate Factory|150000000|206456431|2005
Ratatouille|150000000|206435493|2007
Austin Powers: The Spy Who Shagged Me|33000000|205399422|1999
Batman Begins|150000000|205343774|2005
The Mummy Returns|98000000|202007640|2001
Superman Returns|209000000|200069408|2006
Gone with the Wind|3900000|198655278|1939
Pearl Harbor|140000000|198539855|2001
Monsters vs Aliens|-1|198255437|2009
Terminator 2: Judgment Day|102000000|198116802|1991
Happy Feet|100000000|197992827|2006
Back to the Future|19000000|197902294|1985
Indiana Jones and the Last Crusade|48000000|197171806|1989
Ice Age: Dawn of the Dinosaurs|-1|196442957|2009
Ice Age: The Meltdown|80000000|195329763|2006
Madagascar|75000000|193136719|2005
Men in Black II|140000000|190418803|2002
Gladiator|103000000|187670866|2000
The Day After Tomorrow|125000000|186739919|2004
Mr. & Mrs. Smith|110000000|186336103|2005
Dances with Wolves|19000000|184208848|1990
Batman Forever|100000000|183997904|1995
The Fugitive|44000000|183875760|1993
Ocean's Eleven|85000000|183405771|2001
The Simpsons Movie|75000000|183132370|2007
What Women Want|70000000|182805123|2000
The Perfect Storm|140000000|182618434|2000
Liar Liar|45000000|181395380|1997
Grease|6000000|181280701|1978
Jurassic Park III|93000000|181166115|2001
Mission: Impossible|80000000|180981706|1996
Planet of the Apes|100000000|180011740|2001
Madagascar: Escape 2 Africa|150000000|179982968|2008
X-Men Origins: Wolverine|150000000|179883016|2009
Pretty Woman|14000000|178406268|1990
Night at the Museum: Battle of the Smithsonian|150000000|177233619|2009
Top Gun|15000000|176650237|1986
There's Something About Mary|23000000|176483808|1998
Ice Age|59000000|176387405|2002
The Bourne Supremacy|75000000|176049130|2004
Indiana Jones and the Temple of Doom|28000000|175083524|1984
Crocodile Dundee|8800000|174803506|1986
Home Alone 2: Lost in New York|-1|173585516|1992
Elf|33000000|173381405|2003
National Treasure|100000000|173008894|2004
Rain Man|25000000|172825435|1988
Air Force One|85000000|172620724|1997
