Title|Gross
Traffic in Souls|430000
The Battle of the Sexes|480000
The Call of the North|52284
Dough and Dynamite|130000
The Man from Home|62091
The Million Dollar Mystery|1500000
Rose of the Rancho|87028
The Squaw Man|244700
What's His Name|61560
The Arab|68527
The Birth of a Nation|3000000
The Captive|56075
Carmen|147600
The Cheat|137365
Chimmie Fadden|78944
Chimmie Fadden Out West|72036
The Girl of the Golden West|102224
The Golden Chance|83504
Kindling|66036
Temptation|102437
The Unafraid|63944
The Warrens of Virginia|85770
The Wild Goose Chase|60631
The Dream Girl|66725
The Heart of Nora Flynn|87738
Maria Rosa|102768
The Trail of the Lonesome Pine|77944
The Devil-Stone|296032
Joan the Woman|605731
The Little American|446237
A Romance of the Redwoods|424719
The Woman God Forgot|340505
Mickey|18000000
Old Wives for New|286504
Tarzan of the Apes|1000000
The Whispering Chorus|242109
The Miracle Man|3000000
Over the Hill to the Poorhouse|3000000
Pollyanna|1160962
Shipwrecked Among Cannibals|1000000
Suds|772155
Way Down East|4500000
Every Woman's Problem|40000
The Kid|2500000
Little Lord Fauntleroy|900000
The Love Light|690965
The Three Musketeers|1500000
More to Be Pitied Than Scorned|130000
Oliver Twist|2000000
Robin Hood|2500000
Tess of the Storm Country|927953
The Covered Wagon|3800000
The Shock|257327
The Big Parade|5000000
The Freshman|1392
His People|3000000
Little Annie Rooney|1100000
The Midshipman|630000
The Unholy Three|704000
Aloma of the South Seas|3000000
Ben-Hur: A Tale of the Christ|4359000
Flesh and the Devil|603000
Metropolis|28779
Sparrows|966878
The Temptress|587000
Torrent|460000
What Price Glory|700000
Blake of Scotland Yard|3500000
The Jazz Singer|3000000
Jesse James|1200000
Love|946000
Lovers?|451000
My Best Girl|1027757
The Road to Romance|482000
Sunrise: A Song of Two Humans|5801
Across to Singapore|596000
Die Büchse der Pandora|9950
The Divine Woman|541000
Lights of New York|1200000
The Mysterious Lady|543000
The Road to Ruin|2500000
Sadie Thompson|1000000
West of Zanzibar|921000
A Woman of Affairs|850000
The Broadway Melody|2808000
Bulldog Drummond|1600000
Coquette|1400000
The Desert Song|3001000
The Kiss|518000
The Mysterious Island|55000
Noah's Ark|1367000
Paris|619000
The Single Standard|659000
The Taming of the Shrew|1100000
Welcome Danger|3100000
Wild Orchids|622000
Anna Christie|1013000
Der blaue Engel|77982
Feet First|1589000
The Indians Are Coming|1000000
Madam Satan|500000
Raffles|1000000
Romance|733000
Tom Sawyer|11000000
L'âge d'or|32712
Around the World in 80 Minutes with Douglas Fairbanks|200000
City Lights|19181
Frankenstein|12000000
Inspiration|725000
Kiki|426513
Susan Lenox <Her Fall and Rise>|806000
As You Desire Me|705000
The Beast of the City|408000
Ekstase|3000000
Grand Hotel|1235000
Mata Hari|931000
Movie Crazy|1439000
The Saddle Buster|25000
Shanghai Express|3700000
Strange Interlude|1240000
Cavalcade|8000000
42nd Street|2300000
Going Hollywood|962000
I'm No Angel|2850000
King Kong|1700000
Peg o' My Heart|979000
Queen Christina|767000
Secrets|697432
She Done Him Wrong|2000000
Three Little Pigs|250000
The Affairs of Cellini|88890
The Black Cat|236000
The Cat's-Paw|693000
Let's Try Again|183000
The Painted Veil|538000
Viva Villa!|1109000
Anna Karenina|865000
